order_id,customer_id,customer_name,email,phone,order_date,product,price,quantity,pincode,status
ORD10001,CUS1001,Mahima,mahima@gmail.com,9876543210,2026-09-01,Laptop,55000,1,560001,Delivered
ORD10002,CUS1002,Ananya,ananya@gmail.com,9123456780,2026-09-02,Keyboard,1200,2,560034,Shipped
ORD10003,CUS1003,Rahul,rahulgmail.com,9876543211,2026-09-02,Mouse,800,1,560001,Pending
ORD10004,CUS1004,Priya,priya@gmail.com,12345,2026-09-03,Monitor,15000,1,560037,Delivered
ORD10005,CUS1005,,john@gmail.com,9876543212,2026-09-03,Headphones,2500,1,560038,Pending
ORD10006,CUS1006,Kiran,kiran@gmail.com,9876543213,2026-09-04,Keyboard,-500,1,560040,Shipped
ORD10007,CUS1007,Sneha,sneha@gmail.com,9876543214,2026-09-04,Mouse,800,0,560041,Delivered
ORD10008,CUS1008,Arun,arun@gmail.com,9876543215,2026-09-05,Laptop,55000,1,560042,Unknown
ORD10009,CUS1009,Meena,meena@gmail.com,9876543216,2026-09-05,Tablet,20000,2,560043,Pending
ORD10009,CUS1010,Ravi,ravi@gmail.com,9876543217,2026-09-05,Phone,30000,1,560044,Shipped
ORD10010,CUS1011,Divya,divyagmail.com,9876543218,2026-09-06,Camera,45000,1,560045,Delivered
ORD10011,CUS1012,Arjun,arjun@gmail.com,9876543219,2026-09-06,Watch,5000,-2,560046,Pending
ORD10012,CUS1013,Neha,neha@gmail.com,9876543220,2026-09-06,Tablet,18000,1,56004,Shipped
ORD10013,CUS1014,Rohan,rohangmail.com,9876543221,2026-09-07,Phone,25000,1,560048,Pending
ORD10014,CUS1015,Shreya,shreya@gmail.com,9876543222,2026-09-07,,3000,1,560049,Delivered
ORD10015,CUS1016,Manoj,manoj@gmail.com,9876543223,2026-09-07,Printer,0,1,560050,Shipped
ORD10016,CUS1017,Asha,asha@gmail.com,9876543224,2026-09-07,Tablet,15000,1,560051,Processing
ORD10017,CUS1018,Ravi123,ravigmail.com,9876543225,2026-09-08,Phone,35000,1,560052,Pending
ORD10018,CUS1019,Keerthi,keerthi@gmail.com,9876543226,2026-09-08,Laptop,60000,1,560053,Delivered
ORD10019,CUS1020,Varun,varun@gmail.com,9876543227,2026-09-08,Mouse,700,3,560054,Cancelled
